2002-04-10,1168.86
2002-04-11,1168.15
2002-04-12,1168.88
2002-04-15,1164.58
2002-04-16,1160.72
2002-04-17,1160.03
2002-04-18,1149.80
2002-04-19,1139.32
2002-04-22,1136.87
2002-04-23,1136.47
2002-04-24,1135.69
2002-04-25,1137.41
2002-04-26,1137.41
2002-04-29,1129.29
2002-04-30,1129.33
2002-05-02,1124.04
2002-05-03,1124.54
2002-05-06,1133.90
2002-05-07,1133.31
2002-05-08,1131.90
2002-05-09,1125.65
2002-05-10,1124.82
2002-05-13,1124.52
2002-05-14,1123.98
2002-05-15,1120.47
2002-05-16,1119.04
2002-05-17,1122.64
2002-05-20,1111.44
2002-05-21,1109.66
2002-05-22,1080.64
2002-05-23,1080.06
2002-05-24,1080.06
2002-05-27,1055.41
2002-05-28,1057.34
2002-05-29,1057.34
2002-05-30,1061.77
2002-05-31,1071.07
2002-06-10,1072.18
2002-06-11,1074.73
2002-06-12,1083.32
2002-06-13,1083.47
2002-06-14,1079.20
2002-06-17,1080.24
2002-06-18,1079.11
2002-06-19,1077.96
2002-06-20,1080.80
2002-06-21,1075.77
2002-06-24,1074.73
2002-06-25,1080.60
2002-06-26,1079.90
2002-06-27,1080.95
2002-06-28,1086.62
2002-07-10,1088.07
2002-07-11,1091.66
2002-07-12,1094.86
2002-07-15,1099.50
2002-07-16,1110.61
2002-07-17,1110.69
2002-07-18,1112.35
2002-07-19,1111.50
2002-07-22,1111.91
2002-07-23,1114.43
2002-07-24,1111.46
2002-07-25,1104.67
2002-07-26,1103.44
2002-07-29,1103.51
2002-07-30,1096.82
2002-07-31,1097.73
2002-08-01,1086.18
2002-08-02,1080.12
2002-08-05,1079.15
2002-08-06,1080.51
2002-08-07,1079.89
2002-08-08,1074.69
2002-08-09,1070.38
2002-08-12,1067.12
2002-08-13,1062.98
2002-08-14,1062.03
2002-08-15,1065.56
2002-08-16,1066.08
2002-08-19,1065.03
2002-08-20,1062.14
2002-08-21,1059.93
2002-08-22,1054.68
2002-08-23,1047.87
2002-08-26,1047.08
2002-08-27,1044.16
2002-08-28,1043.82
